courses,createdAt,email,entryYear,gradeLevel,id,name,phone,schoolId,totalScore,type,updatedAt
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,kenneth678@student.revoducate.edu,2022,10,197970064,Kenneth Brennan,696.345.6725x2091,SCH594112,53.0,student,2025-03-31T18:05:19.820004
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,derek551@student.revoducate.edu,2023,9,603729107,Derek Carr,4173001519,SCH594112,80.1,student,2025-03-31T18:05:19.821922
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS445791"", ""CRS010114"", ""CRS636333""]",2025-03-31T18:05:19.761101,william283@student.revoducate.edu,2022,10,782600743,William Miller,482.915.1993x179,SCH594112,85.8,student,2025-03-31T18:05:19.823426
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS445791"", ""CRS010114"", ""CRS636333""]",2025-03-31T18:05:19.761101,william47@student.revoducate.edu,2020,12,931338096,William Mccall,+1-424-441-7161,SCH594112,80.4,student,2025-03-31T18:05:19.826933
"[""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS010114"", ""CRS282114"", ""CRS829699"", ""CRS445791""]",2025-03-31T18:05:19.763102,felicia815@student.revoducate.edu,2022,10,726896308,Felicia Anthony,585.455.7032x593,SCH594112,84.3,student,2025-03-31T18:05:19.829366
"[""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS010114"", ""CRS282114""]",2025-03-31T18:05:19.763102,taylor353@student.revoducate.edu,2021,11,604144517,Taylor Barry,+1-229-251-4867x56657,SCH594112,77.8,student,2025-03-31T18:05:19.831365
"[""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS829699""]",2025-03-31T18:05:19.763102,lauren190@student.revoducate.edu,2023,9,267396244,Lauren Jones,001-330-435-7041x5552,SCH594112,71.8,student,2025-03-31T18:05:19.833365
"[""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS282114"", ""CRS563301"", ""CRS829699""]",2025-03-31T18:05:19.763102,lauren165@student.revoducate.edu,2022,10,415468853,Lauren Miller,3678388162,SCH594112,70.0,student,2025-03-31T18:05:19.835434
"[""CRS279712"", ""CRS636333"", ""CRS829699"", ""CRS445791""]",2025-03-31T18:05:19.763102,jennifer857@student.revoducate.edu,2020,12,837453225,Jennifer Torres,(826)920-3306,SCH594112,64.1,student,2025-03-31T18:05:19.836952
"[""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS563301""]",2025-03-31T18:05:19.763102,jennifer534@student.revoducate.edu,2020,12,343135812,Jennifer Evans,833-253-4421,SCH594112,71.9,student,2025-03-31T18:05:19.838467
"[""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS010114"", ""CRS282114"", ""CRS563301"", ""CRS445791""]",2025-03-31T18:05:19.763102,cody59@student.revoducate.edu,2021,11,264883017,Cody Carroll,(274)559-0265,SCH594112,81.0,student,2025-03-31T18:05:19.841471
"[""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS563301"", ""CRS829699""]",2025-03-31T18:05:19.763102,sabrina118@student.revoducate.edu,2021,11,534063894,Sabrina Wilson,001-993-867-3330x6143,SCH594112,79.0,student,2025-03-31T18:05:19.842471
"[""CRS279712"", ""CRS636333"", ""CRS010114"", ""CRS563301"", ""CRS829699"", ""CRS445791""]",2025-03-31T18:05:19.763102,barbara768@student.revoducate.edu,2022,10,153597730,Barbara Rodriguez,001-379-941-2979x6469,SCH594112,87.6,student,2025-03-31T18:05:19.844487
"[""CRS279712"", ""CRS636333"", ""CRS010114"", ""CRS282114"", ""CRS563301"", ""CRS829699"", ""CRS445791""]",2025-03-31T18:05:19.763102,scott663@student.revoducate.edu,2022,10,495380033,Scott Glenn,(540)664-5315x2110,SCH594112,51.9,student,2025-03-31T18:05:19.846991
"[""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS282114"", ""CRS563301"", ""CRS829699""]",2025-03-31T18:05:19.763102,leah144@student.revoducate.edu,2022,10,192694670,Leah Smith,001-565-658-2108x177,SCH594112,82.5,student,2025-03-31T18:05:19.850995
"[""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS282114"", ""CRS563301"", ""CRS010114""]",2025-03-31T18:05:19.763102,sergio214@student.revoducate.edu,2020,12,136879001,Sergio Moss,(262)359-5062,SCH594112,72.5,student,2025-03-31T18:05:19.852995
"[""CRS279712"", ""CRS636333"", ""CRS282114"", ""CRS563301"", ""CRS829699"", ""CRS010114""]",2025-03-31T18:05:19.763102,caroline848@student.revoducate.edu,2021,11,764774023,Caroline Parsons,001-471-947-0944x6439,SCH594112,61.2,student,2025-03-31T18:05:19.854994
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS182491"", ""CRS435216""]",2025-03-31T18:05:19.763102,diane24@student.אורטבהאמס.edu,2021,11,737215922,Diane Gregory,+1-707-971-0140x56458,SCH215402,77.4,student,2025-03-31T18:05:19.859024
"[""CRS237240"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS435216"", ""CRS384403"", ""CRS159759""]",2025-03-31T18:05:19.765101,mary648@student.אורטבהאמס.edu,2022,10,353558632,Mary Phillips,(462)528-3816x21181,SCH215402,81.7,student,2025-03-31T18:05:19.864535
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.763102,kerri254@student.אורטבהאמס.edu,2023,9,626154106,Kerri Foley,001-497-708-5511x18042,SCH215402,88.6,student,2025-03-31T18:05:19.868542
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216"", ""CRS182491""]",2025-03-31T18:05:19.765813,daniel482@student.אורטבהאמס.edu,2023,9,573992900,Daniel Barrett,(928)278-1954x74226,SCH215402,66.4,student,2025-03-31T18:05:19.872545
"[""CRS237240"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS435216"", ""CRS384403"", ""CRS182491"", ""CRS159759""]",2025-03-31T18:05:19.766100,gloria488@student.אורטבהאמס.edu,2022,10,661823488,Gloria Anderson,(991)873-0971,SCH215402,66.1,student,2025-03-31T18:05:19.877051
"[""CRS237240"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS384403"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.766100,alicia107@student.אורטבהאמס.edu,2023,9,909992825,Alicia Anthony,+1-528-537-7260x78171,SCH215402,84.5,student,2025-03-31T18:05:19.882558
"[""CRS237240"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS435216"", ""CRS384403"", ""CRS159759""]",2025-03-31T18:05:19.763102,kevin857@student.אורטבהאמס.edu,2020,12,613980951,Kevin Hall,293-388-8443x9005,SCH215402,60.5,student,2025-03-31T18:05:19.887062
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.765813,craig129@student.אורטבהאמס.edu,2020,12,455419642,Craig Martinez,+1-874-869-8457x225,SCH215402,76.3,student,2025-03-31T18:05:19.890569
"[""CRS237240"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS384403"", ""CRS182491"", ""CRS435216""]",2025-03-31T18:05:19.765101,richard249@student.אורטבהאמס.edu,2021,11,513258753,Richard Ewing,912-984-4570,SCH215402,84.4,student,2025-03-31T18:05:19.896569
"[""CRS237240"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS384403"", ""CRS182491"", ""CRS159759""]",2025-03-31T18:05:19.763102,christian614@student.אורטבהאמס.edu,2021,11,573969227,Christian Stevens,+1-284-668-9275x42959,SCH215402,77.1,student,2025-03-31T18:05:19.900696
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS435216"", ""CRS159759""]",2025-03-31T18:05:19.765101,tammy179@student.אורטבהאמס.edu,2022,10,934180162,Tammy Davis,2807509510,SCH215402,90.3,student,2025-03-31T18:05:19.904779
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216"", ""CRS182491""]",2025-03-31T18:05:19.765813,adam295@student.אורטבהאמס.edu,2021,11,764756337,Adam Gilbert,(493)943-2788x315,SCH215402,75.6,student,2025-03-31T18:05:19.910021
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216"", ""CRS182491""]",2025-03-31T18:05:19.765101,brandon856@student.אורטבהאמס.edu,2020,12,824629828,Brandon Brady,609.871.6201,SCH215402,72.8,student,2025-03-31T18:05:19.915231
"[""CRS237240"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS384403"", ""CRS182491"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.765101,kara430@student.אורטבהאמס.edu,2022,10,603790981,Kara Gutierrez,001-426-478-1953x47024,SCH215402,67.5,student,2025-03-31T18:05:19.918738
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS171035""]",2025-03-31T18:05:19.765101,jennifer268@student.אורטבהאמס.edu,2020,12,188945190,Jennifer Baker,+1-262-902-9011x7276,SCH215402,77.2,student,2025-03-31T18:05:19.924737
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS843136"", ""CRS435216"", ""CRS393309"", ""CRS159759""]",2025-03-31T18:05:19.763102,rachel835@student.אורטבהאמס.edu,2020,12,479054830,Rachel Keller,285-593-4318x65516,SCH215402,62.2,student,2025-03-31T18:05:19.928744
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.765101,karen936@student.אורטבהאמס.edu,2022,10,843130297,Karen Dunn,756.586.9551x731,SCH215402,86.5,student,2025-03-31T18:05:19.934748
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS393309"", ""CRS843136"", ""CRS171035"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.765101,christian474@student.אורטבהאמס.edu,2020,12,573159212,Christian Vaughan,681.474.3903x76745,SCH215402,75.1,student,2025-03-31T18:05:19.938754
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.766100,elaine472@student.אורטבהאמס.edu,2022,10,604894409,Elaine Miller,932.214.4601x568,SCH215402,75.3,student,2025-03-31T18:05:19.944758
"[""CRS237240"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS435216"", ""CRS384403""]",2025-03-31T18:05:19.765101,melanie221@student.אורטבהאמס.edu,2022,10,737404156,Melanie Lee,410-518-6679,SCH215402,66.6,student,2025-03-31T18:05:19.948765
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS171035"", ""CRS843136"", ""CRS435216"", ""CRS182491"", ""CRS393309"", ""CRS159759""]",2025-03-31T18:05:19.763102,catherine122@student.אורטבהאמס.edu,2020,12,555642499,Catherine Horne,(293)427-2963x421,SCH215402,88.0,student,2025-03-31T18:05:19.954769
"[""CRS237240"", ""CRS878123"", ""CRS843136"", ""CRS159759"", ""CRS435216"", ""CRS384403"", ""CRS182491"", ""CRS393309""]",2025-03-31T18:05:19.763102,jane258@student.אורטבהאמס.edu,2020,12,767268515,Jane Austin,803-865-5992x232,SCH215402,83.9,student,2025-03-31T18:05:19.958776
"[""CRS237240"", ""CRS878123"", ""CRS171035"", ""CRS393309"", ""CRS843136"", ""CRS435216"", ""CRS182491"", ""CRS159759""]",2025-03-31T18:05:19.763102,emma560@student.אורטבהאמס.edu,2022,10,510835240,Emma Moran,614.794.9344x18501,SCH215402,64.3,student,2025-03-31T18:05:19.964779
"[""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS393309"", ""CRS843136"", ""CRS159759"", ""CRS182491"", ""CRS435216""]",2025-03-31T18:05:19.763102,christopher779@student.אורטבהאמס.edu,2023,9,290406607,Christopher Hanson,793-447-7521x6603,SCH215402,90.1,student,2025-03-31T18:05:19.969234
"[""CRS843136"", ""CRS237240"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.766100,amy893@student.אורטבהאמס.edu,2021,11,895891539,Amy Williams,268.365.1274,SCH215402,63.9,student,2025-03-31T18:05:19.975233
"[""CRS843136"", ""CRS237240"", ""CRS384403"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.766603,maria280@student.אורטבהאמס.edu,2022,10,842108539,Maria Ward,001-742-602-1009x8909,SCH215402,69.3,student,2025-03-31T18:05:19.980739
"[""CRS843136"", ""CRS435216"", ""CRS237240"", ""CRS182491"", ""CRS393309"", ""CRS159759""]",2025-03-31T18:05:19.766603,daniel36@student.אורטבהאמס.edu,2023,9,104731796,Daniel Lamb,+1-568-723-9840,SCH215402,88.3,student,2025-03-31T18:05:19.982739
"[""CRS843136"", ""CRS159759"", ""CRS384403"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS435216""]",2025-03-31T18:05:19.766603,brandon582@student.אורטבהאמס.edu,2021,11,754749508,Brandon Sharp,868.439.9633,SCH215402,57.2,student,2025-03-31T18:05:19.988746
"[""CRS843136"", ""CRS237240"", ""CRS878123"", ""CRS182491"", ""CRS171035"", ""CRS393309"", ""CRS159759"", ""CRS435216""]",2025-03-31T18:05:19.766603,tammy456@student.אורטבהאמס.edu,2021,11,380666039,Tammy Thomas,728-871-0914x9455,SCH215402,70.3,student,2025-03-31T18:05:19.994749
"[""CRS242944"", ""CRS687693"", ""CRS923542"", ""CRS273627"", ""CRS408913""]",2025-03-31T18:05:19.768116,aaron846@student.ביתספרקציר-משגב.edu,2021,11,448334703,Aaron Clark,+1-960-812-4089x013,SCH278430,60.2,student,2025-03-31T18:05:19.997254
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.768116,kelly433@student.ביתספרקציר-משגב.edu,2023,9,808117610,Kelly Reid,891-309-7703,SCH278430,88.5,student,2025-03-31T18:05:20.000760
"[""CRS242944"", ""CRS687693"", ""CRS923542"", ""CRS273627"", ""CRS596208""]",2025-03-31T18:05:19.768116,amber714@student.ביתספרקציר-משגב.edu,2021,11,914342119,Amber King,539-214-6044x575,SCH278430,76.3,student,2025-03-31T18:05:20.002760
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS596208"", ""CRS408913""]",2025-03-31T18:05:19.768116,anthony810@student.ביתספרקציר-משגב.edu,2020,12,930697650,Anthony Novak,713.788.7889,SCH278430,85.3,student,2025-03-31T18:05:20.007263
"[""CRS242944"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208"", ""CRS273627""]",2025-03-31T18:05:19.768116,angelica234@student.ביתספרקציר-משגב.edu,2023,9,168542464,Angelica Larson,001-368-343-9154,SCH278430,83.7,student,2025-03-31T18:05:20.010770
"[""CRS242944"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS273627"", ""CRS596208""]",2025-03-31T18:05:19.768116,kurt372@student.ביתספרקציר-משגב.edu,2022,10,423298645,Kurt Hunt,592-653-1493,SCH278430,66.6,student,2025-03-31T18:05:20.014770
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.766603,robert12@student.ביתספרקציר-משגב.edu,2021,11,401620787,Robert Moss,4145032429,SCH278430,66.6,student,2025-03-31T18:05:20.018683
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS596208"", ""CRS408913""]",2025-03-31T18:05:19.766603,patricia204@student.ביתספרקציר-משגב.edu,2023,9,393833930,Patricia Rodriguez,755.373.4024,SCH278430,52.7,student,2025-03-31T18:05:20.022834
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.768116,kimberly486@student.ביתספרקציר-משגב.edu,2020,12,653387960,Kimberly Calderon,964.954.3491,SCH278430,77.5,student,2025-03-31T18:05:20.026677
"[""CRS242944"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208"", ""CRS273627""]",2025-03-31T18:05:19.768116,john239@student.ביתספרקציר-משגב.edu,2022,10,323878220,John Marshall,+1-896-322-4976,SCH278430,82.8,student,2025-03-31T18:05:20.029828
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS408913"", ""CRS596208""]",2025-03-31T18:05:19.768116,anthony300@student.ביתספרקציר-משגב.edu,2020,12,605297813,Anthony Olson,928.339.7472x49267,SCH278430,86.3,student,2025-03-31T18:05:20.033832
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542""]",2025-03-31T18:05:19.766603,ann900@student.ביתספרקציר-משגב.edu,2020,12,373405527,Ann Walsh,805-607-1681x820,SCH278430,71.3,student,2025-03-31T18:05:20.036725
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.766603,matthew899@student.ביתספרקציר-משגב.edu,2022,10,868158341,Matthew Bryant,001-768-758-7721x8655,SCH278430,58.3,student,2025-03-31T18:05:20.040256
"[""CRS242944"", ""CRS273627"", ""CRS923542"", ""CRS687693"", ""CRS408913""]",2025-03-31T18:05:19.766603,anthony352@student.ביתספרקציר-משגב.edu,2020,12,519495818,Anthony Garrison,+1-811-992-8378x705,SCH278430,82.9,student,2025-03-31T18:05:20.044260
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.768116,alexandria392@student.ביתספרקציר-משגב.edu,2020,12,761582992,Alexandria Andrews,001-750-442-1041,SCH278430,88.2,student,2025-03-31T18:05:20.046763
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS596208"", ""CRS408913""]",2025-03-31T18:05:19.766603,larry736@student.ביתספרקציר-משגב.edu,2020,12,323938738,Larry Fischer,(814)414-7157x5490,SCH278430,88.2,student,2025-03-31T18:05:20.050767
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS408913"", ""CRS596208""]",2025-03-31T18:05:19.766603,robert74@student.ביתספרקציר-משגב.edu,2020,12,251691288,Robert Patton,+1-701-616-6513,SCH278430,87.6,student,2025-03-31T18:05:20.054767
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.766603,laura181@student.ביתספרקציר-משגב.edu,2021,11,668178790,Laura King,(898)966-2118x92419,SCH278430,72.9,student,2025-03-31T18:05:20.058773
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS408913""]",2025-03-31T18:05:19.768116,gregory64@student.ביתספרקציר-משגב.edu,2022,10,922824237,Gregory Young,(998)762-7425x42490,SCH278430,90.6,student,2025-03-31T18:05:20.062777
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS596208"", ""CRS923542""]",2025-03-31T18:05:19.768116,scott730@student.ביתספרקציר-משגב.edu,2020,12,419629533,Scott Jackson,368.326.6686x212,SCH278430,67.1,student,2025-03-31T18:05:20.066779
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.768116,joshua775@student.ביתספרקציר-משגב.edu,2021,11,824199372,Joshua Rivas,(735)285-5621,SCH278430,90.0,student,2025-03-31T18:05:20.070790
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913""]",2025-03-31T18:05:19.768116,timothy704@student.ביתספרקציר-משגב.edu,2023,9,782282063,Timothy Townsend,+1-760-371-6886x449,SCH278430,86.3,student,2025-03-31T18:05:20.072793
"[""CRS242944"", ""CRS687693"", ""CRS273627"", ""CRS408913"", ""CRS923542"", ""CRS596208""]",2025-03-31T18:05:19.766603,christopher701@student.ביתספרקציר-משגב.edu,2022,10,940556342,Christopher Hawkins,389.247.1472x7361,SCH278430,68.1,student,2025-03-31T18:05:20.077294
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS596208"", ""CRS408913""]",2025-03-31T18:05:19.766603,marissa193@student.ביתספרקציר-משגב.edu,2023,9,303484952,Marissa Wong,(809)493-2308,SCH278430,66.0,student,2025-03-31T18:05:20.080803
"[""CRS242944"", ""CRS687693"", ""CRS923542"", ""CRS273627"", ""CRS408913"", ""CRS596208""]",2025-03-31T18:05:19.768116,brandon697@student.ביתספרקציר-משגב.edu,2022,10,704294624,Brandon Parker,+1-379-783-1805x4701,SCH278430,77.3,student,2025-03-31T18:05:20.084802
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS408913""]",2025-03-31T18:05:19.766603,sherry807@student.ביתספרקציר-משגב.edu,2022,10,210972154,Sherry Patterson,(548)597-4416,SCH278430,59.0,student,2025-03-31T18:05:20.088809
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS923542"", ""CRS596208"", ""CRS408913""]",2025-03-31T18:05:19.766603,mariah253@student.ביתספרקציר-משגב.edu,2021,11,686923873,Mariah Molina,001-506-781-5480x927,SCH278430,73.6,student,2025-03-31T18:05:20.092813
"[""CRS242944"", ""CRS273627"", ""CRS687693"", ""CRS408913"", ""CRS923542""]",2025-03-31T18:05:19.766603,matthew803@student.ביתספרקציר-משגב.edu,2023,9,704357745,Matthew Perez,(670)501-8044x918,SCH278430,72.9,student,2025-03-31T18:05:20.094813
"[""CRS097087"", ""CRS374203"", ""CRS120015"", ""CRS960105"", ""CRS158012"", ""CRS260684""]",2025-03-31T18:05:19.771010,stacey178@student.ביתהחינוךכרמלזבולון.edu,2021,11,879393019,Stacey Sanchez,(899)953-0037x202,SCH436822,71.9,student,2025-03-31T18:05:20.100824
"[""CRS097087"", ""CRS374203"", ""CRS260684"", ""CRS960105"", ""CRS120015""]",2025-03-31T18:05:19.768116,richard454@student.ביתהחינוךכרמלזבולון.edu,2023,9,222874330,Richard Garcia,(534)623-2595x5125,SCH436822,86.1,student,2025-03-31T18:05:20.102824
"[""CRS097087"", ""CRS374203"", ""CRS700175"", ""CRS260684"", ""CRS120015"", ""CRS960105"", ""CRS158012""]",2025-03-31T18:05:19.771010,angela173@student.ביתהחינוךכרמלזבולון.edu,2021,11,935421595,Angela Johnson,001-766-220-2373x355,SCH436822,68.2,student,2025-03-31T18:05:20.108831
