courses,createdAt,department,email,id,name,phone,schoolId,title,type,updatedAt
"[""CRS540603""]",2025-03-20T18:55:28.807468,Computer Science,kara.clarke@אורטבהאמס.edu,477272602,Kara Clarke,774.898.6270x84595,SCH808579,Prof.,teacher,2025-03-20T18:55:29.191174
"[""CRS006701""]",2025-03-20T18:55:28.807468,Science,omar.nixon@אורטבהאמס.edu,265302650,Omar Nixon,411.856.6368x7658,SCH808579,Prof.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.808448,Humanities,steven.walker@אורטבהאמס.edu,465582584,Steven Walker,+1-543-398-6602x146,SCH808579,Ms.,teacher,2025-03-20T18:55:28.808448
"[""CRS766421""]",2025-03-20T18:55:28.808448,Languages,meghan.vargas@אורטבהאמס.edu,779134385,Meghan Vargas,566-407-2211,SCH808579,Mr.,teacher,2025-03-20T18:55:29.191174
"[""CRS540603""]",2025-03-20T18:55:28.808448,Humanities,lauren.barnes@אורטבהאמס.edu,149394266,Lauren Barnes,001-672-912-2067x05109,SCH808579,Prof.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.808448,Arts,denise.nielsen@אורטבהאמס.edu,284980892,Denise Nielsen,+1-209-355-4168x6298,SCH808579,Prof.,teacher,2025-03-20T18:55:28.808448
"[""CRS912609""]",2025-03-20T18:55:28.808448,Mathematics,amy.kelly@אורטבהאמס.edu,992757101,Amy Kelly,(922)967-8395x07581,SCH808579,Mrs.,teacher,2025-03-20T18:55:29.191174
"[""CRS759399""]",2025-03-20T18:55:28.808448,Humanities,erica.hunt@אורטבהאמס.edu,315382956,Erica Hunt,931-229-6991,SCH808579,Dr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.808448,Humanities,gabriela.olson@אורטבהאמס.edu,167965911,Gabriela Olson,+1-965-821-9976x087,SCH808579,Prof.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Computer Science,robin.stein@אורטבהאמס.edu,181123409,Robin Stein,735.425.1474x423,SCH808579,Ms.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Languages,james.beck@אורטבהאמס.edu,151874893,James Beck,001-674-665-1423x264,SCH808579,Mr.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Social Studies,david.brooks@אורטבהאמס.edu,549671531,David Brooks,001-863-516-8241x03272,SCH808579,Mr.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Science,michael.sullivan@אורטבהאמס.edu,225419126,Michael Sullivan,863-340-6063x2432,SCH808579,Ms.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Physical Education,eric.kim@אורטבהאמס.edu,794072797,Eric Kim,001-949-919-8442x11835,SCH808579,Prof.,teacher,2025-03-20T18:55:28.808448
[],2025-03-20T18:55:28.808448,Physical Education,james.greene@אורטבהאמס.edu,759674140,James Greene,3395277405,SCH808579,Mr.,teacher,2025-03-20T18:55:28.808448
"[""CRS766421""]",2025-03-20T18:55:28.809403,Languages,benjamin.hardy@אורטבהאמס.edu,718715157,Benjamin Hardy,001-570-473-9675x674,SCH808579,Mrs.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.809403,Physical Education,kyle.woodward@ביתספרקציר-משגב.edu,132451396,Kyle Woodward,001-683-439-0084x945,SCH791346,Mr.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Science,anthony.tyler@ביתספרקציר-משגב.edu,631220902,Anthony Tyler,(335)901-5671,SCH791346,Dr.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Science,casey.craig@ביתספרקציר-משגב.edu,369288188,Casey Craig,+1-317-245-4879x21760,SCH791346,Mrs.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Humanities,robert.walker@ביתספרקציר-משגב.edu,862171410,Robert Walker,598-343-5357x5086,SCH791346,Ms.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Humanities,lauren.flores@ביתספרקציר-משגב.edu,797979914,Lauren Flores,+1-474-351-9589,SCH791346,Prof.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Computer Science,michelle.wright@ביתספרקציר-משגב.edu,677546229,Michelle Wright,594.588.4887,SCH791346,Mr.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Science,stephen.williams@ביתספרקציר-משגב.edu,548005464,Stephen Williams,001-528-594-7305x690,SCH791346,Ms.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Languages,andrew.jones@ביתספרקציר-משגב.edu,878830230,Andrew Jones,941-539-4893x481,SCH791346,Ms.,teacher,2025-03-20T18:55:28.809403
"[""CRS076701"", ""CRS158832""]",2025-03-20T18:55:28.809403,Science,jody.johnson@ביתספרקציר-משגב.edu,667450962,Jody Johnson,(657)249-7493x468,SCH791346,Dr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.809403,Physical Education,andrea.craig@ביתספרקציר-משגב.edu,716155938,Andrea Craig,(708)912-5689x921,SCH791346,Prof.,teacher,2025-03-20T18:55:28.809403
"[""CRS387471"", ""CRS156649""]",2025-03-20T18:55:28.809403,Social Studies,dylan.moore@ביתספרקציר-משגב.edu,920673629,Dylan Moore,722-591-4417x91285,SCH791346,Mrs.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.809403,Physical Education,stephen.williams@ביתספרקציר-משגב.edu,238563347,Stephen Williams,+1-483-979-1446x3819,SCH791346,Ms.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.809403,Social Studies,veronica.mejia@ביתספרקציר-משגב.edu,106747996,Veronica Mejia,922.589.7094x3599,SCH791346,Prof.,teacher,2025-03-20T18:55:28.809403
[],2025-03-20T18:55:28.810380,Arts,katherine.alexander@ביתספרקציר-משגב.edu,475252223,Katherine Alexander,(890)765-1440x949,SCH791346,Dr.,teacher,2025-03-20T18:55:28.810380
"[""CRS879345""]",2025-03-20T18:55:28.810380,Special Education,james.house@ביתספרקציר-משגב.edu,754835085,James House,738.623.9436,SCH791346,Dr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.810380,Social Studies,eric.flores@ביתהחינוךכרמלזבולון.edu,131586610,Eric Flores,+1-306-795-7242,SCH874413,Mrs.,teacher,2025-03-20T18:55:28.810380
"[""CRS580424""]",2025-03-20T18:55:28.810380,Humanities,kyle.nicholson@ביתהחינוךכרמלזבולון.edu,882431047,Kyle Nicholson,317.583.9828x9589,SCH874413,Prof.,teacher,2025-03-20T18:55:29.191174
"[""CRS648091""]",2025-03-20T18:55:28.810380,Languages,sherri.taylor@ביתהחינוךכרמלזבולון.edu,133305133,Sherri Taylor,346-711-7928,SCH874413,Dr.,teacher,2025-03-20T18:55:29.191174
"[""CRS083954""]",2025-03-20T18:55:28.810380,Mathematics,jenna.james@ביתהחינוךכרמלזבולון.edu,874364760,Jenna James,+1-589-485-6425,SCH874413,Prof.,teacher,2025-03-20T18:55:29.191174
"[""CRS509735""]",2025-03-20T18:55:28.810380,Mathematics,aaron.meyer@ביתהחינוךכרמלזבולון.edu,966931381,Aaron Meyer,(684)506-6800x13877,SCH874413,Prof.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.810380,Arts,robin.briggs@ביתהחינוךכרמלזבולון.edu,811886746,Robin Briggs,+1-362-953-7573,SCH874413,Mr.,teacher,2025-03-20T18:55:28.810380
"[""CRS648091""]",2025-03-20T18:55:28.810380,Computer Science,philip.jackson@ביתהחינוךכרמלזבולון.edu,887287901,Philip Jackson,677-678-5399,SCH874413,Mrs.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.810380,Computer Science,renee.alexander@ביתהחינוךכרמלזבולון.edu,343992147,Renee Alexander,3934520654,SCH874413,Mr.,teacher,2025-03-20T18:55:28.810380
[],2025-03-20T18:55:28.810380,Arts,larry.stewart@ביתהחינוךכרמלזבולון.edu,286237155,Larry Stewart,2183386539,SCH874413,Mr.,teacher,2025-03-20T18:55:28.810380
[],2025-03-20T18:55:28.810380,Humanities,nicholas.thompson@ביתהחינוךכרמלזבולון.edu,330590179,Nicholas Thompson,+1-722-390-0301x1582,SCH874413,Ms.,teacher,2025-03-20T18:55:28.810380
[],2025-03-20T18:55:28.810380,Social Studies,joshua.brandt@ביתהחינוךכרמלזבולון.edu,368741463,Joshua Brandt,635.395.4335x840,SCH874413,Mr.,teacher,2025-03-20T18:55:28.810380
"[""CRS506159""]",2025-03-20T18:55:28.810380,Special Education,mary.taylor@ביתהחינוךכרמלזבולון.edu,417656486,Mary Taylor,8512410743,SCH874413,Ms.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.810380,Computer Science,madison.taylor@ביתהחינוךכרמלזבולון.edu,948458154,Madison Taylor,9815246427,SCH874413,Dr.,teacher,2025-03-20T18:55:28.810380
[],2025-03-20T18:55:28.811370,Science,james.davis@ביתהחינוךכרמלזבולון.edu,227545236,James Davis,001-205-394-2440,SCH874413,Mrs.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Science,daniel.valdez@ביתהחינוךכרמלזבולון.edu,480311295,Daniel Valdez,+1-240-587-7634x9017,SCH874413,Prof.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Mathematics,richard.andrade@ביתהחינוךכרמלזבולון.edu,288206289,Richard Andrade,+1-727-619-1233x79291,SCH874413,Dr.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Physical Education,gregory.long@ביתהחינוךכרמלזבולון.edu,954668425,Gregory Long,+1-380-861-0875x5633,SCH874413,Mr.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Science,kathleen.johnson@ביתהספרקצינייםעכו.edu,742184558,Kathleen Johnson,+1-876-649-3760x183,SCH815837,Mr.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Computer Science,shawn.woods@ביתהספרקצינייםעכו.edu,166623534,Shawn Woods,001-683-410-6245,SCH815837,Dr.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Humanities,brittany.dickerson@ביתהספרקצינייםעכו.edu,110115156,Brittany Dickerson,(758)995-7448,SCH815837,Dr.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Humanities,david.mason@ביתהספרקצינייםעכו.edu,804413585,David Mason,4085055638,SCH815837,Dr.,teacher,2025-03-20T18:55:28.811370
"[""CRS512766""]",2025-03-20T18:55:28.811370,Computer Science,david.benson@ביתהספרקצינייםעכו.edu,138010870,David Benson,+1-670-201-2514x0410,SCH815837,Dr.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.811370,Special Education,tammy.gonzalez@ביתהספרקצינייםעכו.edu,672934944,Tammy Gonzalez,468.533.5419x1294,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.811370,Physical Education,john.santos@ביתהספרקצינייםעכו.edu,863497311,John Santos,857.750.2601,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.811370
"[""CRS023301""]",2025-03-20T18:55:28.811370,Mathematics,tina.parker@ביתהספרקצינייםעכו.edu,245715652,Tina Parker,001-450-414-6424x925,SCH815837,Mrs.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.811370,Science,katie.acosta@ביתהספרקצינייםעכו.edu,603683255,Katie Acosta,001-502-969-5406x428,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.811370
"[""CRS169990""]",2025-03-20T18:55:28.811370,Mathematics,nancy.solis@ביתהספרקצינייםעכו.edu,606980384,Nancy Solis,+1-648-779-5152,SCH815837,Mrs.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.811370,Mathematics,vanessa.delacruz@ביתהספרקצינייםעכו.edu,292436381,Vanessa Delacruz,001-964-290-7394,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.811370
[],2025-03-20T18:55:28.812391,Special Education,elizabeth.palmer@ביתהספרקצינייםעכו.edu,928882307,Elizabeth Palmer,302.956.1414x394,SCH815837,Mr.,teacher,2025-03-20T18:55:28.812391
[],2025-03-20T18:55:28.812461,Humanities,tina.mendez@ביתהספרקצינייםעכו.edu,257083101,Tina Mendez,+1-769-214-3702,SCH815837,Prof.,teacher,2025-03-20T18:55:28.812461
[],2025-03-20T18:55:28.812461,Social Studies,julie.flynn@ביתהספרקצינייםעכו.edu,589887595,Julie Flynn,(511)880-1670x845,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.812461
[],2025-03-20T18:55:28.812461,Mathematics,loretta.aguilar@ביתהספרקצינייםעכו.edu,311948891,Loretta Aguilar,+1-589-734-2389x881,SCH815837,Mrs.,teacher,2025-03-20T18:55:28.812461
"[""CRS732088""]",2025-03-20T18:55:28.812461,Physical Education,adam.garcia@ביתהספרקצינייםעכו.edu,468837249,Adam Garcia,(452)391-9505x416,SCH815837,Prof.,teacher,2025-03-20T18:55:29.191174
"[""CRS632665""]",2025-03-20T18:55:28.812461,Humanities,brandon.smith@ביתהספרקצינייםעכו.edu,683294854,Brandon Smith,(336)423-1005x206,SCH815837,Ms.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.812461,Science,tammy.stanton@ביתהספרקצינייםעכו.edu,316137889,Tammy Stanton,(793)202-2425,SCH815837,Prof.,teacher,2025-03-20T18:55:28.812461
[],2025-03-20T18:55:28.812461,Computer Science,caroline.schneider@ביתהספרקצינייםעכו.edu,714899308,Caroline Schneider,616-834-6142x5773,SCH815837,Prof.,teacher,2025-03-20T18:55:28.812461
"[""CRS169990""]",2025-03-20T18:55:28.812461,Special Education,nicholas.holmes@ביתהספרקצינייםעכו.edu,717834872,Nicholas Holmes,613.951.2993x12409,SCH815837,Mr.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.812461,Physical Education,michael.hall@אורטחקלאיפרדסחנה.edu,505355108,Michael Hall,870-799-0286x72597,SCH050657,Ms.,teacher,2025-03-20T18:55:28.812461
"[""CRS829271""]",2025-03-20T18:55:28.812461,Science,nathan.burns@אורטחקלאיפרדסחנה.edu,680590290,Nathan Burns,303.966.2454x28162,SCH050657,Mrs.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.812461,Humanities,james.miller@אורטחקלאיפרדסחנה.edu,856438899,James Miller,732-792-7810x4590,SCH050657,Mrs.,teacher,2025-03-20T18:55:28.812461
"[""CRS674486"", ""CRS792818""]",2025-03-20T18:55:28.812461,Arts,travis.taylor@אורטחקלאיפרדסחנה.edu,241407543,Travis Taylor,001-424-358-5880x7023,SCH050657,Mr.,teacher,2025-03-20T18:55:29.193174
"[""CRS655493"", ""CRS427163"", ""CRS545989""]",2025-03-20T18:55:28.812461,Mathematics,jeremiah.james@אורטחקלאיפרדסחנה.edu,109798304,Jeremiah James,9814199476,SCH050657,Mr.,teacher,2025-03-20T18:55:29.193174
[],2025-03-20T18:55:28.812461,Special Education,taylor.morgan@אורטחקלאיפרדסחנה.edu,484347724,Taylor Morgan,274.568.8896x96600,SCH050657,Prof.,teacher,2025-03-20T18:55:28.812461
[],2025-03-20T18:55:28.812461,Special Education,brenda.johnson@אורטחקלאיפרדסחנה.edu,882321151,Brenda Johnson,311.712.6460x15824,SCH050657,Mrs.,teacher,2025-03-20T18:55:28.812461
"[""CRS980690"", ""CRS412820"", ""CRS545989""]",2025-03-20T18:55:28.813482,Physical Education,deanna.west@אורטחקלאיפרדסחנה.edu,830407758,Deanna West,001-481-688-7333x48804,SCH050657,Mrs.,teacher,2025-03-20T18:55:29.193174
